,documentSentiment.magnitude,documentSentiment.score,PetID
0,0.5,0.0,b5e7e4539
1,8.3,0.2,41e824cbe
2,2.9,0.3,0833744e6
3,1.7,0.4,fc229a9d7
4,0.9,0.9,3589a8a0d
5,0.7,0.3,bdfe6125d
6,1.1,0.3,57af29aba
7,2.1,0.0,94afcd90c
8,1.9,0.2,aa7dc1913
9,1.3,0.3,868dcd617
10,1.2,0.1,8f1d6224d
11,2.8,0.2,811f9407f
12,0.8,0.8,15a206d0d
13,0.5,0.5,d45776f61
14,0.0,0.0,e7a74fca8
15,0.9,-0.2,fe4bb01a6
16,1.5,0.1,029e79030
17,1.5,-0.7,e77941c00
18,1.3,0.4,6f72c46b5
19,0.4,0.4,e92b33580
20,8.2,0.2,6e6d8b614
21,0.8,0.1,c1e816568
22,2.0,0.6,e40073625
23,0.6,0.0,c8fc0d746
24,1.5,0.1,8a97062f5
25,3.3,0.2,081c0a12d
26,1.0,0.0,49a867af7
27,3.5,0.2,24c1d5a33
28,2.4,0.3,4fc7557be
29,0.3,0.3,0e98b9e24
30,4.0,0.2,a062234cb
31,3.6,0.1,66b206dbe
32,2.3,0.7,6819ce556
33,1.7,0.0,c8d27db32
34,0.4,0.0,89bd573e1
35,0.8,0.8,e6b28fc29
36,1.6,0.8,0cd8ca49f
37,4.0,0.3,c4e1afd9e
38,6.3,0.3,718c4b524
39,0.7,0.7,435f419f9
40,0.8,0.2,096a97631
41,0.9,0.9,409740892
42,0.4,0.4,f0982978a
43,1.5,0.7,e152df77a
44,1.8,0.1,a854aca45
45,3.4,0.1,d6f0972d4
46,1.8,0.2,e246ecfdc
47,0.7,0.7,43b99bc40
48,2.5,0.8,133ca8c90
49,0.8,0.2,71f93d157
50,1.2,0.3,0edb4e3b2
51,0.9,0.4,261a88440
52,3.7,0.2,5fcd44bf9
53,1.6,0.3,15f89f939
54,0.2,0.0,9115f86cb
55,1.7,0.1,b39f3f7ad
56,0.8,-0.4,7810092ba
57,2.2,0.2,8f49d2828
58,0.8,0.8,1f2bd07e8
59,0.4,-0.2,6eb8a8e8e
60,1.0,0.5,bf50b399e
61,3.3,0.3,81a1cb1b2
62,1.0,0.5,b1db9573c
63,5.2,0.1,86228db7e
64,1.4,0.1,87a243fe6
65,4.7,0.4,7fd44f9f3
